Ship Date,Month,Year,Ship Mode,Area,Region,Category,Sub-Category,Sold,Profit
2016-11-11,November,2016,Second Class,Jawa,South,Furniture,Bookcases,270,503000
2016-11-11,November,2016,Second Class,Sumatra,South,Furniture,Chairs,740,2635000
2016-06-16,Juni,2016,Second Class,Bali,West,Office Supplies,Labels,20,82500
2015-10-18,Oktober,2015,Standard Class,Papua,South,Office Supplies,Storage,30,30200
2014-06-14,Juni,2014,Standard Class,Sulawesi,West,Furniture,Furnishings,50,170100
2014-06-14,Juni,2014,Standard Class,Kalimantan,West,Office Supplies,Art,10,23600
2014-06-14,Juni,2014,Standard Class,Jawa,West,Technology,Phones,910,1088600
2014-06-14,Juni,2014,Standard Class,Sumatra,West,Office Supplies,Binders,20,69400
2014-06-14,Juni,2014,Standard Class,Bali,West,Office Supplies,Appliances,120,413700
2014-06-14,Juni,2014,Standard Class,Papua,West,Furniture,Tables,1710,1023800
2014-06-14,Juni,2014,Standard Class,Sulawesi,West,Technology,Phones,920,820300
2017-04-20,April,2017,Standard Class,Kalimantan,South,Office Supplies,Paper,20,65400
2016-12-10,Desember,2016,Standard Class,Papua,West,Office Supplies,Binders,410,1591200
2014-11-18,November,2014,Standard Class,Sulawesi,Central,Office Supplies,Storage,670,159900
2014-05-15,Mei,2014,Second Class,Kalimantan,West,Office Supplies,Storage,60,119900
2014-09-01,September,2014,Second Class,Jawa,West,Office Supplies,Art,10,29800
2014-09-01,September,2014,Second Class,Sumatra,West,Technology,Phones,220,192200
2014-09-01,September,2014,Second Class,Bali,West,Office Supplies,Binders,30,88700
2016-12-13,Desember,2016,Standard Class,Papua,Central,Office Supplies,Art,20,60800
2016-12-13,Desember,2016,Standard Class,Sulawesi,Central,Office Supplies,Appliances,70,188300
2015-09-30,September,2015,Standard Class,Kalimantan,West,Furniture,Tables,1050,2883200
2016-01-20,Januari,2016,Second Class,Kalimantan,West,Office Supplies,Binders,20,50700
2016-01-20,Januari,2016,Second Class,Jawa,West,Technology,Accessories,100,141300
2015-09-21,September,2015,Standard Class,Sumatra,East,Furniture,Furnishings,130,186300
2015-09-21,September,2015,Standard Class,Bali,East,Office Supplies,Envelopes,10,13300
2015-09-21,September,2015,Standard Class,Papua,East,Office Supplies,Art,90,116600
2015-09-21,September,2015,Standard Class,Sulawesi,East,Office Supplies,Art,20,42600
2017-10-23,Oktober,2017,Second Class,Kalimantan,Central,Office Supplies,Paper,30,119400
2016-12-10,Desember,2016,First Class,Jawa,Central,Technology,Phones,1100,1481700
2015-12-31,Desember,2015,Standard Class,Sumatra,Central,Office Supplies,Envelopes,120,425000
2015-12-31,Desember,2015,Standard Class,Bali,Central,Technology,Phones,380,501100
2017-09-15,September,2017,Standard Class,Papua,Central,Technology,Phones,150,198700
2016-07-22,Juli,2016,Standard Class,Sulawesi,West,Office Supplies,Storage,80,46800
2017-09-23,September,2017,Standard Class,Kalimantan,South,Office Supplies,Storage,100,114800
2016-03-13,Maret,2016,First Class,Jawa,Central,Technology,Accessories,50,237300
2016-03-13,Maret,2016,First Class,Sumatra,Central,Office Supplies,Binders,20,98500
2014-10-25,Oktober,2014,Second Class,Bali,Central,Office Supplies,Storage,220,101800
2016-06-25,Juni,2016,Standard Class,Papua,East,Technology,Accessories,50,59400
2016-06-25,Juni,2016,Standard Class,Sulawesi,East,Technology,Phones,30,73300
2015-04-22,April,2015,Standard Class,Kalimantan,Central,Office Supplies,Binders,40,215600
